Food,Ingredients,Hearts Restored,Notes,Sell Price
Salt-Grilled Meat,"Raw Bird Drumstick,Rock Salt",2,Use different meats to restores more hearts.,
Salt-Grilled Greens,"Hyrule Herb,Rock Salt",2,Use more or other vegetables to increase the hearts restored or to give it a special effect.,
Meat and Seafood Fry,"Hyrule Bass,Raw Bird Drumstick",4,Use other or more Meat and Fish to increase hearts restored or add special effects.,
Glazed Mushrooms,"Endura Shroom,Courser Bee Honey",6,Switch the Endura Shroom for a Hylian Shroom or a Stamella Shroom to give it a stamina recovery effect (Energizing glazed mushrooms).,
Glazed Meat,"Spicy Pepper,Raw Meat,Courser Bee Honey",7,Use only Raw meat and Courser Bee Honey to give the meal the Energizing Effect.,
Glazed Veggies,"Courser Bee Honey,Cool Safflina",4,Switch the Cool Safflina for Hyrule Herbs to give the meal the Energizing Effect.,
Fragrant Mushroom Saute,"Hylian Shroom,Goron Spice",1,Use more mushrooms and other types of mushrooms to increase the number of hearts it restores or to give it special effects.,
Herb Saute,"Hyrule Herbs,Goron Spice",2,Use different herbs or more herbs for different effects.,
Spiced Meat Skewer,"Raw Meat,Goron Spice",2,Use more meat to give the dish more hearts.,
Meaty Rice Balls,"Raw Meat,Hylian Rice",4,Use different types of meat to increase the number of hearts restored.,
Mushroom Rice Balls,"Hylian Shroom,Hylian Rice",3,Use other or more mushrooms to increase the number of hearts restored or give it a special effect.,
Seafood Rice Balls,"Hylian Rice,Hyrule Bass",4,Use different fish to increase hearts restored or to add a special effect.,
Veggie Rice Balls,"Hylian Rice,Hyrule Herbs",4,Use other or more vegetables or herbs to restore more hearts or add special effects.,
Hard Boiled Egg,Egg,1 ½,Drop into hot springs.,
Campfire Egg,Egg,1 ½,"Open flame. Drop carefully on a surface above Link's feet, or the egg will break (recommend doing in Eldin, otherwise starting a fire near enough becomes difficult).",
Baked Apple,Apple,¾,Open flame.,
Baked Palm Fruit,Palm Fruit,1 ½,Open flame.,
Roasted Acorn,Acorn,½,Open flame.,
Roasted Bass,Hyrule Bass,1 ½,Open flame.,
Roasted Bird Drumstick,Raw Bird Drumstick,1 ½,Open flame.,
Roasted Radish,Hearty Radish,3 ¾,Open flame.,
Seared Gourmet Steak,Raw Gourmet Meat,4 ½,Open flame.,
Seared Prime Steak,Raw Prime Meat,2 ¼,Open flame.,
Seared Steak,Raw Meat,1 ½,Open flame.,
Blueshell Escargot,Hearty Blueshell Snail,4 ½,Open flame.,
Toasted Hearty Truffle,Hearty Truffle,3,Open flame.,
